| time |reset|ARegister|DRegister|PC[]|RAM16K[15|RAM16K[16|RAM16K[17|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |
| 1    |  0  |      16 |       0 |   1|       0 |       0 |       0 |
| 2    |  0  |      16 |       0 |   2|       0 |       1 |       0 |
| 3    |  0  |      17 |       0 |   3|       0 |       1 |       0 |
| 4    |  0  |      17 |       0 |   4|       0 |       1 |       0 |
| 5    |  0  |      16 |       0 |   5|       0 |       1 |       0 |
| 6    |  0  |      16 |       1 |   6|       0 |       1 |       0 |
| 7    |  0  |      20 |       1 |   7|       0 |       1 |       0 |
| 8    |  0  |      20 |     -19 |   8|       0 |       1 |       0 |
| 9    |  0  |      18 |     -19 |   9|       0 |       1 |       0 |
| 10   |  0  |      18 |     -19 |  10|       0 |       1 |       0 |
| 11   |  0  |      16 |     -19 |  11|       0 |       1 |       0 |
| 12   |  0  |      16 |       1 |  12|       0 |       1 |       0 |
| 13   |  0  |      17 |       1 |  13|       0 |       1 |       0 |
| 14   |  0  |      17 |       1 |  14|       0 |       1 |       1 |
| 15   |  0  |      16 |       1 |  15|       0 |       1 |       1 |
| 16   |  0  |      16 |       1 |  16|       0 |       2 |       1 |
| 17   |  0  |       4 |       1 |  17|       0 |       2 |       1 |
| 18   |  0  |       4 |       1 |   4|       0 |       2 |       1 |
| 19   |  0  |      16 |       1 |   5|       0 |       2 |       1 |
| 20   |  0  |      16 |       2 |   6|       0 |       2 |       1 |
| 21   |  0  |      20 |       2 |   7|       0 |       2 |       1 |
| 22   |  0  |      20 |     -18 |   8|       0 |       2 |       1 |
| 23   |  0  |      18 |     -18 |   9|       0 |       2 |       1 |
| 24   |  0  |      18 |     -18 |  10|       0 |       2 |       1 |
| 25   |  0  |      16 |     -18 |  11|       0 |       2 |       1 |
| 26   |  0  |      16 |       2 |  12|       0 |       2 |       1 |
| 27   |  0  |      17 |       2 |  13|       0 |       2 |       1 |
| 28   |  0  |      17 |       2 |  14|       0 |       2 |       3 |
| 29   |  0  |      16 |       2 |  15|       0 |       2 |       3 |
| 30   |  0  |      16 |       2 |  16|       0 |       3 |       3 |
| 31   |  0  |       4 |       2 |  17|       0 |       3 |       3 |
| 32   |  0  |       4 |       2 |   4|       0 |       3 |       3 |
| 33   |  0  |      16 |       2 |   5|       0 |       3 |       3 |
| 34   |  0  |      16 |       3 |   6|       0 |       3 |       3 |
| 35   |  0  |      20 |       3 |   7|       0 |       3 |       3 |
| 36   |  0  |      20 |     -17 |   8|       0 |       3 |       3 |
| 37   |  0  |      18 |     -17 |   9|       0 |       3 |       3 |
| 38   |  0  |      18 |     -17 |  10|       0 |       3 |       3 |
| 39   |  0  |      16 |     -17 |  11|       0 |       3 |       3 |
| 40   |  0  |      16 |       3 |  12|       0 |       3 |       3 |
| 41   |  0  |      17 |       3 |  13|       0 |       3 |       3 |
| 42   |  0  |      17 |       3 |  14|       0 |       3 |       6 |
| 43   |  0  |      16 |       3 |  15|       0 |       3 |       6 |
| 44   |  0  |      16 |       3 |  16|       0 |       4 |       6 |
| 45   |  0  |       4 |       3 |  17|       0 |       4 |       6 |
| 46   |  0  |       4 |       3 |   4|       0 |       4 |       6 |
| 47   |  0  |      16 |       3 |   5|       0 |       4 |       6 |
| 48   |  0  |      16 |       4 |   6|       0 |       4 |       6 |
| 49   |  0  |      20 |       4 |   7|       0 |       4 |       6 |
| 50   |  0  |      20 |     -16 |   8|       0 |       4 |       6 |
| 51   |  0  |      18 |     -16 |   9|       0 |       4 |       6 |
| 52   |  0  |      18 |     -16 |  10|       0 |       4 |       6 |
| 53   |  0  |      16 |     -16 |  11|       0 |       4 |       6 |
| 54   |  0  |      16 |       4 |  12|       0 |       4 |       6 |
| 55   |  0  |      17 |       4 |  13|       0 |       4 |       6 |
| 56   |  0  |      17 |       4 |  14|       0 |       4 |      10 |
